Número de qubits: 40
Layer	Time	var(Time)
1  0.0026034467000000004  3.238739599451223e-5
2  0.06676856290000001  0.019581247948008237
3  0.0007002969000000001  2.045082097743333e-8
4  0.0009314565000000001  1.784491542250001e-8
5  0.0006727646  1.3875343045155557e-8
6  0.001032476  1.4035196968444437e-8
7  0.0006814834999999999  1.3239342360277776e-8
8  0.0014652527000000002  2.402951116600111e-7
9  0.0007389518  1.9703338102177773e-8
10  0.0027694842999999997  1.1588216873423334e-7
11  0.0008988207999999999  2.464993974462222e-8
12  0.0085784636  1.254953596506427e-5
13  0.0012189453000000002  3.39783495569e-8
14  0.0730354875  6.993630999933514e-5
15  0.0029135902000000003  3.193302493701067e-6
16  0.2318596867  0.00011273810833504611
17  0.008040640399999998  1.1557727955180442e-6
18  1.5403267188999998  0.00771063379472128
19  0.04572950590000001  0.0026387177431278766
20  6.7401858546  0.1307612660149395
Total= 8.7311518898
Varianza= 0.18046216994045332
