Número de qubits: 40
Layer	Time	var(Time)
1  0.0024985644  3.280946192482339e-5
2  0.06909607170000001  0.01818132985473349
3  0.0006134178  2.133002758328889e-8
4  0.0008521597999999999  2.0847833909733336e-8
5  0.0005902543999999999  1.167158564448889e-8
6  0.0009276338  9.523534721066664e-9
7  0.0005995368  1.2619516463066666e-8
8  0.0046451109  0.00011787879550147364
9  0.0007060775  1.841059637561111e-8
10  0.016817841599999998  0.002014729604089699
11  0.0008209101  1.7065227010766663e-8
12  0.021828500500000004  0.0020409245118099403
13  0.0011255521  3.9695454123211125e-8
14  0.0871163301  0.0019151279362538483
15  0.0030519020999999996  1.0404952171974986e-5
16  0.26106044720000005  0.0001526336278047363
17  0.007011886800000001  1.8437757041244e-6
18  1.7160189896000002  0.007557013439370357
19  0.021815821199999995  9.352643963959064e-6
20  7.9375752893  0.2905258906916003
Total= 10.1547722977
Varianza= 0.16128004522935228
