Número de qubits: 40
Layer	Time	var(Time)
1  0.0011455133999999996  8.888161098671109e-8
2  0.0690314734  0.020354741749297474
3  0.0008460296000000001  2.9901433465599995e-8
4  0.0012450722  4.08440307552889e-8
5  0.0007995400999999999  3.101768848987777e-8
6  0.001373565  5.1356984336666674e-8
7  0.0008124121  2.7376852803877777e-8
8  0.0019257736000000002  8.10865981478222e-8
9  0.0009144397  3.046385450534445e-8
10  0.0036723536  1.493945385631555e-7
11  0.0010383411  1.4448142682322228e-8
12  0.009170426800000003  2.3765765842595543e-7
13  0.00142704  5.625051425844443e-8
14  0.0471860674  7.711393658910714e-5
15  0.0136394815  0.0005304103158213475
16  0.2153129677  0.00021521730061937807
17  0.0098054803  4.819710689976456e-6
18  1.2110376122  0.021158080482102493
19  0.059365048  0.0049168650863230185
20  9.1695399963  0.6656159821548788
21  0.0775156348  4.249908835044884e-5
22  81.3234193499  56.816598402895856
23  0.5675468382  0.002835975722758898
24  762.011964514  15.02219126774922
Total= 854.7997349709001
Varianza= 3.0231059256196837
