Número de qubits: 40
Layer	Time	var(Time)
1  0.0008512362000000001  1.4573556055288889e-8
2  0.0650643901  0.027100456585422816
3  0.0008088023  1.6493778178900003e-8
4  0.0016221278  2.9910481772906664e-7
5  0.0007837854  1.8496543345822224e-8
6  0.0016885686  3.23430746007111e-8
7  0.0007297813999999999  9.47815178715556e-9
8  0.0023902691  2.9923276389433315e-8
9  0.0008980611999999999  1.1246932960844448e-8
10  0.0054288225  5.427870198002778e-7
11  0.0013006394999999999  4.91928572624722e-7
12  0.0161870852  2.22456189525511e-7
13  0.0015329438  1.6603170509288884e-8
14  0.117433969  1.705191020327933e-5
15  0.0044509531  2.7071200636614327e-6
16  0.4290482052  0.0021347585348008655
17  0.0108151205  4.827814025600498e-6
18  1.7542514141  0.004656214159796706
19  0.1095548749  0.005558030758142097
20  7.3702449148  0.007203908380593415
Total= 9.8950859647
Varianza= 0.002333983034906597
