Número de qubits: 40
Layer	Time	var(Time)
1  0.0042336234  4.3966662076062044e-5
2  0.2611981875  0.38125764030595516
3  0.0008558175  4.73649852027778e-9
4  0.0011842319  6.4531937169888915e-9
5  0.0007848317000000001  6.439801824233337e-9
6  0.0012986271000000001  1.0507928458988889e-8
7  0.0007970664000000001  5.62876145271111e-9
8  0.0017467084000000002  1.495116719960001e-8
9  0.0007719157  1.2378194502455553e-8
10  0.0034182366  3.136320004604442e-8
11  0.0010642959000000001  6.9993541667666705e-9
12  0.0107515994  9.355317827626659e-8
13  0.0027230839999999997  1.1620164609270224e-5
14  0.0791132206  3.5426934084306285e-5
15  0.0187705907  0.002089501125591703
16  0.3012878428  0.0026036881784461587
17  0.0087565538  5.515576471089734e-6
18  1.2650090047  0.01084489520872654
19  0.045243182400000005  0.003757558800703366
20  6.7526506082  0.5340390692688936
21  0.0666795881  7.722971320618836e-5
22  42.68468723030001  0.3286791132926367
23  0.42406202430000006  0.0007115484949748249
24  302.98619017090004  1.9343437655455327
Total= 354.92327824230006
Varianza= 0.13327086384513273
