Número de qubits: 40
Layer	Time	var(Time)
1  0.0007758875000000001  1.9889458071666673e-9
2  0.03235152479999999  0.009510963315520978
3  0.0006961106000000001  1.5123033362666676e-9
4  0.0013473867999999997  1.9398768755111082e-9
5  0.0007096774000000001  9.86411470711111e-10
6  0.0016409455  1.602830607611111e-9
7  0.0007512978  3.4749355040000035e-10
8  0.0024542963999999996  5.1988717973777874e-9
9  0.000827726  5.180451546666659e-10
10  0.005421422  2.5240648477800005e-7
11  0.0009892324  2.1732866720933343e-8
12  0.0168167079  3.6449367846698907e-7
13  0.0015402319  1.7991680562410003e-7
14  0.12448314170000001  6.3939869736422316e-6
15  0.0035138219999999998  5.938987341555554e-9
16  0.4648083582  9.799319597570185e-6
17  0.0072100559  2.2689387707666582e-9
18  1.9247808399  2.8305459400896896e-5
19  0.0235108877  1.3478006974801112e-7
20  8.5791158951  0.0025506263931879356
21  0.0928467018  0.0004056745640482943
22  49.0465165228  0.07780541626939753
23  0.387177469  0.006248359902705695
24  328.0077963445  0.7222178600167322
Total= 388.7280824856
Varianza= 0.03411601561917395
