Número de qubits: 40
Layer	Time	var(Time)
1  0.0099018227  0.000822619259947048
2  0.043142465899999996  0.008309426823442517
3  0.0007348405  8.993302049166668e-9
4  0.0008298477  8.315790826011109e-9
5  0.0006799643  5.282032648677778e-9
6  0.0008997856  5.847920485822223e-9
7  0.0007025854999999999  5.610790709166666e-9
8  0.0019375582000000003  5.021720079371067e-6
9  0.0008005078  1.5991137666222224e-9
10  0.0024082074  3.055058237937778e-8
11  0.0009469348  6.039396944177778e-9
12  0.0074750459  5.335067209623655e-6
13  0.0012401458  2.71685821724e-8
14  0.06926205770000002  0.00020893595888498944
15  0.0028161059  6.840081975075432e-6
16  0.2653011295  0.0012746021267098038
17  0.023771019099999995  0.0007368489240391915
18  1.4516430909999998  0.01797664450783151
19  0.0302261442  0.000809721679212066
20  8.647808651299998  0.09669659594029392
21  0.1378872549  0.001511660695569372
22  56.02951100419999  0.18487697510801057
Total= 66.72992616989998
Varianza= 0.014238242150032594
