Número de qubits: 40
Layer	Time	var(Time)
1  0.003180618300000001  3.079777499728402e-5
2  0.0918970279  0.020433531455151446
3  0.0006324242000000001  1.4070136825955556e-8
4  0.0008659649  9.385416181655557e-9
5  0.0006016155999999999  8.712860843599997e-9
6  0.0009277229999999999  8.417266453333333e-9
7  0.0008463864000000001  5.140812765655999e-7
8  0.0012321831000000002  1.2773772697211112e-8
9  0.000932185  6.519847890964444e-7
10  0.003228972  4.675247395614891e-6
11  0.0008114670999999999  2.791602385965556e-8
12  0.0084686044  1.1218740938670043e-5
13  0.0011400683  3.982483383912222e-8
14  0.0800930198  8.71046949416506e-6
15  0.005184662599999999  7.953644346734651e-5
16  0.30497292899999995  0.0013446147986865718
17  0.0079514332  4.892589821288445e-7
18  1.8065818138999998  0.014617732618941491
19  0.053961762999999996  0.004330180498696558
20  9.217155378400001  0.05422987571165678
Total= 11.590666240100001
Varianza= 0.00475463250923922
