Número de qubits: 80
Layer	Time	var(Time)
1  0.0041817119  2.8347147583465663e-5
2  0.0487463086  0.009639908245546953
3  0.0019500464  1.4348102815248891e-7
4  0.0057339594  0.00012071510394903292
5  0.0020254588000000002  1.892664434732889e-7
6  0.0024858471999999994  1.0537782356595557e-7
7  0.002192006  1.6039156185400003e-7
8  0.0197346495  0.0024159453807796973
9  0.0024742194  1.1606677976848886e-7
10  0.0061498223  2.1863974770801114e-7
11  0.0027571136000000005  1.3757469767337772e-7
12  0.021873559400000003  2.1820281905271592e-5
13  0.0030567728000000004  3.3812541415373326e-7
14  0.2056587723  0.002397842429734528
15  0.0067811408  6.391593900225733e-6
16  0.7495179326000001  0.00018922361391764347
17  0.0182640076  9.767900010629381e-6
18  4.767111207899999  0.017116648680143245
19  0.18808598450000003  0.004733736570873694
20  28.822198789299996  0.2135900841169197
Total= 34.88097931029999
Varianza= 0.012513591999438023
