Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
0.0 -250.0 0.0 16.241605571650005 20.026586579634795 0.0 0.0 1.0 0.0
0.05 -250.62539121234045 2.1827872842550278e-11 15.980501898399998 0.03587532836513674 6.212647508467099e-6 0.0 3.0 0.0
0.1 -252.50630708568025 -2.1827872842550278e-11 16.452719629150003 0.05303386977584523 8.424689128315269e-5 8.271806125530277e-25 3.0 0.0
0.15 -255.65734519639506 0.0 17.0458377508 0.03115681160869599 0.00039145971191546834 0.0 5.0 0.0
0.2 -260.1041603629428 2.9103830456733704e-11 18.048071039049997 0.030209884135047105 0.0011918338143303612 -1.0587911840678754e-21 5.0 0.0
0.25 -265.78350674674755 0.04186719919380266 19.68106124365 0.42751556446432915 0.002961997878396885 3.323560903122148e-8 12.0 100.0
0.3 -272.68927249434824 0.015195223881164566 22.1696118975 0.25121005082769443 0.006341072019718767 1.855224388827223e-12 29.75 45.78750000000002
0.35 -281.0944244235624 0.08441731985658407 25.9360063416 0.854431428339808 0.037253854417119654 0.010908546571679861 31.75 1.1875
0.4 -291.3510106376642 0.047407211546669714 29.407340521299993 0.7033926728017832 0.0917155831350064 0.01972489023015179 32.0 0.0
0.45 -303.59559196384276 0.01031611196231097 31.69303718485 0.7729811482746527 0.13065844333897197 0.019764780836622156 32.0 0.0
0.5 -318.20626535428363 0.00035014328022953123 32.52512315015 0.03833101347390766 0.2476827022282539 0.007542463668569137 32.0 0.0
0.55 -335.6529979056905 0.00010071578435599804 32.409611305 0.04004667180811339 0.31731820061366 0.00019354600937991628 32.0 0.0
0.6 -354.8439734895102 0.00020622333977371454 31.82729592605 0.03013046060277702 0.2523989402713617 2.2424655511943392e-6 32.0 0.0
0.65 -375.14860638076755 2.5999208446592093e-5 31.056303703199994 0.04772633600020981 0.20821616759973374 1.353296795250647e-7 32.0 0.0
0.7 -396.246411918113 2.113811206072569e-7 30.320085489249998 0.0909906088857042 0.17693870669212047 1.9695800636265748e-8 32.0 0.0
0.75 -417.93534930100657 5.9051671996712685e-8 29.424353650849998 0.059060726479856385 0.15346537873593125 2.6388147292277786e-9 32.0 0.0
0.8 -440.0843982061227 1.225271262228489e-8 29.0135167653 0.3197877807765508 0.13500933191663256 8.299345124335167e-9 32.0 0.0
0.85 -462.6002056619226 1.0186340659856796e-9 27.378236302749997 0.310592591283239 0.12015388235910221 3.654480589670994e-10 32.0 0.0
0.9 -485.4140027282342 3.7834979593753815e-10 27.06977585075 1.579425614908473 0.10788265823601213 2.1409134361161097e-10 32.0 0.0
0.95 -508.4737844980635 0.0 28.506349877049995 0.7021265255069693 0.09758938230507376 1.344990004786828e-10 32.0 0.0
1.0 -531.7392997518398 2.9103830456733704e-10 27.544979137899997 6.492013290704108 0.08884051594552358 1.2870824545041515e-10 32.0 0.0
1.05 -555.1788277686506 5.820766091346741e-11 25.640366604400004 1.92634494765025 0.08131824006285715 1.046233412405062e-11 31.7 1.7100000000000364
1.1 -578.7669747464035 5.820766091346741e-11 23.791504089800004 0.3550668510763444 0.0747851818986701 2.7708171694562633e-11 31.65 0.727500000000191
1.15 -602.4831485742512 0.0 27.082551855099997 1.9688387501149691 0.06906874369869964 7.593433000441241e-11 31.25 1.0874999999999773
1.2 -626.3104502824366 -1.1641532182693481e-10 26.0586205501 1.7472849665102785 0.06403271015410884 1.2408963613597113e-11 31.2 1.5600000000000591
1.25 -650.2348705288596 -1.1641532182693481e-10 23.399126238550004 1.733981293752663 0.059564794750967834 5.373659850427259e-12 30.95 2.6475000000000364
1.3 -674.244690458059 -1.1641532182693481e-10 24.53176551695 1.4356645849803726 0.05557860937630839 3.952262996043121e-12 29.85 3.8274999999999864
1.35 -698.3300213523871 -5.820766091346741e-11 24.440628515900002 0.8461138969455533 0.05200539134378425 3.352772486725497e-12 30.0 3.6000000000000227
1.4 -722.4824624175756 1.7462298274040222e-10 24.01281242715 0.4305157303595024 0.04878447547095528 7.427685203009737e-12 29.5 5.75
1.45 -746.6948255277641 -2.3283064365386963e-10 23.74569030255 0.12358401319932 0.04587394834845845 4.2230021563005593e-13 30.05 5.447499999999991
1.5 -770.9609226327129 1.1641532182693481e-10 23.54181534425 0.11532470027486852 0.04322980533543865 3.0057779182302014e-12 28.75 6.787500000000023
1.55 -795.2753955527847 0.0 22.9405807792 0.11351564720598617 0.0408210002232396 6.7098574960122725e-12 27.35 12.827499999999986
1.6 -819.633580787798 1.1641532182693481e-10 23.361341663799998 0.9369540730498329 0.038618015329378155 9.8797749495394e-13 27.1 7.289999999999964
1.65 -844.0314007560276 -2.3283064365386963e-10 23.008276212100004 0.11329081225846949 0.03659814477412149 1.0810712134518008e-12 27.4 6.940000000000168
1.7 -868.4652709000087 -2.3283064365386963e-10 21.54428927 1.06946927264039 0.034741370643306776 1.196242107107115e-12 28.15 4.0275000000001455
1.75 -892.9320307723222 -1.1641532182693481e-10 20.697241925150003 0.18753610539044985 0.03302904952232688 5.191619703581729e-13 27.65 9.627500000000055
1.8 -917.4288799953105 -2.3283064365386963e-10 22.506933558500002 0.0988766338186906 0.03144685052307562 6.275644066910946e-14 26.8 9.960000000000036
1.85 -941.9533283245121 0.0 22.870127107000002 0.5965031354327266 0.02998139749018876 7.846715898568446e-13 26.95 7.747499999999945
1.9 -966.503155814186 -2.3283064365386963e-10 22.561477274799998 0.16096608038043314 0.02862030203957839 4.793941936129253e-13 26.0 9.100000000000023
1.95 -991.0763742539233 -4.656612873077393e-10 22.876030875999994 0.6649295114184497 0.027354609295904653 1.0653033359966924e-12 26.3 8.1099999999999
2.0 -1015.6711989561275 -4.656612873077393e-10 24.687116604349992 0.9046346336042461 0.026174555359938075 5.099057244148386e-12 27.25 11.387500000000045
