Numero de qubits: 15 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200418  2.887540474112315e-15
2  4.0  0.0  0.9064569982200444  4.687324269300086e-15
3  8.0  0.0  2.7313496056624276  0.005471347979280366
4  16.0  0.0  2.7313496056624307  0.005471347979281129
5  32.0  0.0  4.5779541607150325  0.006855869206265477
6  64.0  0.0  4.577954160715033  0.006855869206264825
7  128.0  0.0  6.437943357209851  0.006620179665579292
8  128.0  0.0  6.437943357209852  0.006620179665577691
9  128.0  0.0  6.569691252995698  0.020059402137074116
10  128.0  0.0  6.569691252995701  0.02005940213707389
11  128.0  0.0  6.458282074824558  0.008526086476818576
12  128.0  0.0  6.458282074824561  0.008526086476818342
13  128.0  0.0  6.428657269063291  0.005671775779547784
14  128.0  0.0  6.4286572690632955  0.005671775779546858
15  128.0  0.0  6.418195145335221  0.0063764594160365985
Numero de qubits: 16 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.0507238932512971e-14  3.4287140487561917e-15
2  4.0  0.0  1.8151708450320014  0.002391753063950049
3  8.0  0.0  1.8151708450320065  0.002391753063951738
4  16.0  0.0  3.6504855410807506  0.0022554231551257502
5  32.0  0.0  3.650485541080754  0.0022554231551252597
6  64.0  0.0  5.501834941184366  0.003994394363417466
7  128.0  0.0  5.501834941184369  0.003994394363417083
8  256.0  0.0  7.36798982406569  0.003953609723487317
9  256.0  0.0  7.367989824065694  0.003953609723486498
10  256.0  0.0  7.120833415169642  0.01327868546053761
11  256.0  0.0  7.120833415169645  0.013278685460538269
12  256.0  0.0  7.031697253241868  0.005019734842293628
13  256.0  0.0  7.0316972532418704  0.005019734842293044
14  256.0  0.0  7.0095015033250245  0.0032959803496240875
15  256.0  0.0  7.009501503325028  0.0032959803496249427
Numero de qubits: 17 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.1628438208848199e-14  2.0984277542648736e-15
2  4.0  0.0  1.8156091444380364  0.0035389440460308836
3  8.0  0.0  1.8156091444380411  0.003538944046030072
4  16.0  0.0  3.652143547714521  0.005517312127786693
5  32.0  0.0  3.652143547714523  0.005517312127786099
6  64.0  0.0  5.504776591872173  0.00508768045614924
7  128.0  0.0  5.504776591872176  0.005087680456148829
8  256.0  0.0  7.372841793622297  0.0054357196863442135
9  256.0  0.0  7.3728417936223  0.0054357196863444
10  256.0  0.0  7.539223381611761  0.027667806879501492
11  256.0  0.0  7.539223381611765  0.027667806879500583
12  256.0  0.0  7.451883306158335  0.006974366751417715
13  256.0  0.0  7.451883306158339  0.006974366751418108
14  256.0  0.0  7.427666451446944  0.003040382129521019
15  256.0  0.0  7.427666451446948  0.003040382129520982
Numero de qubits: 18 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200446  3.3909090213655765e-15
2  4.0  0.0  0.9064569982200478  5.5913260906924416e-15
3  8.0  0.0  2.731181662971169  0.003971306177461493
4  16.0  0.0  2.7311816629711734  0.003971306177460682
5  32.0  0.0  4.577350578377269  0.004201694465995396
6  64.0  0.0  4.577350578377275  0.004201694465994907
7  128.0  0.0  6.436342172289274  0.005262565110792103
8  256.0  0.0  6.436342172289277  0.00526256511079084
9  512.0  0.0  8.307898177932305  0.0052919100741797955
10  512.0  0.0  8.30789817793231  0.005291910074180621
11  512.0  0.0  8.111407514474553  0.013531451515393774
12  512.0  0.0  8.111407514474555  0.01353145151539305
13  512.0  0.0  8.029738108364025  0.006980235945974311
14  512.0  0.0  8.029738108364029  0.006980235945973378
15  512.0  0.0  8.008619026445633  0.0023461032660122565
Numero de qubits: 19 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.906456998220045  2.3422811694540977e-15
2  4.0  0.0  0.9064569982200494  8.010241811481976e-15
3  8.0  0.0  2.729395892669122  0.0031058338793488547
4  16.0  0.0  2.7293958926691286  0.0031058338793504394
5  32.0  0.0  4.574088146907104  0.0039178774052600895
6  64.0  0.0  4.5740881469071075  0.003917877405260503
7  128.0  0.0  6.434787963148247  0.004941756339298435
8  256.0  0.0  6.43478796314825  0.004941756339298549
9  512.0  0.0  8.307407841739387  0.0058307955584347695
10  512.0  0.0  8.30740784173939  0.005830795558435768
11  512.0  0.0  8.529089639188692  0.02385609329010868
12  512.0  0.0  8.529089639188697  0.023856093290109022
13  512.0  0.0  8.44761141251008  0.006036029532974798
14  512.0  0.0  8.447611412510081  0.006036029532975485
15  512.0  0.0  8.424979048869995  0.0023499152978937368
Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.274963748518343e-14  3.1445837084812255e-15
2  4.0  0.0  1.8157532546974298  0.0035099748977936033
3  8.0  0.0  1.8157532546974333  0.003509974897790945
4  16.0  0.0  3.6511391838643696  0.0037748111677347535
5  32.0  0.0  3.6511391838643745  0.0037748111677348706
6  64.0  0.0  5.504911500943837  0.005091229290756258
7  128.0  0.0  5.504911500943839  0.005091229290757513
8  256.0  0.0  7.371134372276666  0.005889360141314843
9  512.0  0.0  7.37113437227667  0.005889360141314965
10  1024.0  0.0  9.249354892023561  0.007447967078231015
11  1024.0  0.0  9.249354892023565  0.007447967078231586
12  1023.9  0.3  9.097998058384526  0.009787340897272259
13  1023.9  0.3  9.097998058384533  0.00978734089727304
14  1023.95  0.21794494717703367  9.025895649116503  0.005088413632203179
15  1023.95  0.21794494717703367  9.02589564911651  0.005088413632202928
