Numero de qubits: 20 
Layer   Error var(error)
1  4.041489136467014e-9  2.1865110201186807e-9
2  4.017152398052408e-9  2.598496478027128e-9
3  6.43055397488099e-9  2.2782839948873506e-9
4  5.459331023181172e-9  2.1160719016195943e-9
5  6.748466609151211e-9  2.4510141566520093e-9
6  5.97032065128908e-9  2.2473217933852445e-9
7  8.104922253758665e-9  3.710427144780371e-9
8  8.215442193834751e-9  3.1736034084973544e-9
9  9.804174142988974e-9  2.0335715134704867e-9
10  6.403350601198259e-9  3.432537261202054e-9
11  4.458038276522092e-9  1.938816601428332e-9
12  6.204424080135269e-9  4.5685933156601805e-9
13  8.023593620367803e-9  2.4233142333766605e-9
14  6.5659979129789874e-9  3.5253082930366004e-9
15  5.166664845661461e-9  2.7686671870744985e-9
16  8.645128789117225e-9  2.817213022342889e-9
17  0.00818417099878047  0.012218754091443499
18  0.01889438082624022  0.02348929063343114
19  0.055259897700352265  0.0380082165223887
20  0.09160431244992905  0.037680324673826225
21  0.1609865742272488  0.0411537514593183
22  0.20715356393726006  0.035997777570834305
23  0.29829563505191853  0.03818208378021115
24  0.34754784302022  0.04253902205119957
25  0.4397550411396952  0.04178252319808858
26  0.49056532407091546  0.040700049494513904
27  0.5601112859019219  0.04012917523574069
28  0.6025065036683481  0.03682113749800447
29  0.6565751507126141  0.03655904867421425
30  0.6865066445102576  0.03556678031230448
