Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.2781671750221582e-14  3.649516912973555e-15
2  4.0  0.0  1.8154399145897062  0.003219501717944584
3  8.0  0.0  1.8154399145897107  0.0032195017179450845
4  16.0  0.0  3.650887296467289  0.005115108845073537
5  32.0  0.0  3.650887296467295  0.005115108845071805
6  64.0  0.0  5.501743133058222  0.005488100582282986
7  128.0  0.0  5.501743133058227  0.005488100582282041
8  256.0  0.0  7.367516784461445  0.005272430424041182
9  512.0  0.0  7.367516784461448  0.005272430424040146
10  1024.0  0.0  9.244505286805978  0.006161338842293287
11  1024.0  0.0  9.244505286805984  0.006161338842293651
12  1023.95  0.21794494717703375  9.098350562475432  0.011979360692745501
13  1023.95  0.21794494717703375  9.098350562475437  0.011979360692746716
14  1023.9  0.2999999999999999  9.025897206388839  0.004592161871322253
15  1023.9  0.2999999999999999  9.025897206388844  0.004592161871322027
