Numero de qubits: 20 
Layer   Time var(Time)
1  0.004473219149999999  0.00043472005750554854
2  0.00422103445  0.00045693840469689947
3  0.0043921377499999996  0.0005363664883834443
4  0.0052141334  0.00261640991934405
5  0.00463765405  0.0006629435807681129
6  0.005819777899999999  0.0018941764481159062
7  0.005894960350000001  0.0015067593564295622
8  0.0059705904  0.0007031899723567876
9  0.009087867699999998  0.0066441347327103484
10  0.010446013  0.0053871905368469
11  0.012279167999999997  0.0019579863747678627
12  0.02272065205  0.0052833997379333085
13  0.04876829575  0.032848040801978215
14  0.0719201926  0.017748056416005444
15  0.12439634450000003  0.048254995293869285
16  0.22574701595  0.08451985676843454
17  0.3692215240999999  0.09662582380460706
18  0.59591129755  0.18272260299933665
19  0.9036316068500001  0.15511666006946878
20  1.2064913398500001  0.11297257703888854
21  1.0702132947999998  0.05745813532546513
22  1.2995709138000002  0.034679799464987685
23  1.0613708860500002  0.05054904823680783
24  1.2888879584  0.03982019847160935
25  1.08507163985  0.06559580093653006
26  1.28736036505  0.035662119643239225
27  1.0684625746000003  0.057691264349084524
28  1.3015383153999998  0.030992054075548538
29  1.0706617633500002  0.050100586193651174
30  1.2810618989  0.04962664950468707
Total= 15.455444435550001
Varianza= 0.6302431771861589

