Numero de qubits: 20 
Layer   Time var(Time)
1  0.019410271350000004  0.06316363733480126
2  0.004826596600000001  0.0004468353077300853
3  0.004824881300000001  0.00040493994641392194
4  0.005219186099999999  0.00033338750391322407
5  0.0078441739  0.0007134632708228854
6  0.015669956399999997  0.0012956770028677439
7  0.049052510150000006  0.006551875702975746
8  0.13698843384999998  0.03766163782346609
9  0.48500286215  0.0645740221076386
10  1.2880828291500002  0.015424513187244243
11  2.8309718412500002  0.07077881436765261
12  1.9908014237  0.053092594185248435
13  2.6941559162000006  0.19007662342677456
14  1.9837651387999997  0.041776106041218
15  2.7930935668  0.12151901430773425
16  1.9859249303999995  0.03089630993657504
17  2.7701722936  0.13753154943393742
18  1.9817748600000005  0.036296928695296736
19  2.7235215894500002  0.17340353737606357
20  1.9883666166499996  0.03256259424061426
21  2.84783381455  0.07179828008162326
Total= 28.607303692350012
Varianza= 0.5027756950Numero Numero de qubits: 21 
Layer   Time var(Time)
1  0.0053346718  0.0005718273567168328
2  0.0049900866499999995  0.000504809115067297
3  0.0051937050999999994  0.0006387642236590822
4  0.0058170496000000006  0.0006612853912375806
5  0.007986473249999999  0.0008286277536142435
6  0.014478006300000002  0.0016717028551087691
7  0.0466308132  0.00250291632795794
8  0.1286276346  0.003619042045088251
9  0.5430651741  0.003947625993171359
10  1.3771815614  0.011272108515715393
11  3.3230222691499995  0.07079219401982086
12  4.38812181365  0.049155380125713584
13  4.338466239800001  0.06107784669032899
14  4.368779776950001  0.04662400994960291
15  4.321824964200001  0.056786668640448755
16  4.353229197  0.03939703979955527
17  4.2960242827  0.07463309736770132
18  4.35510595595  0.040400659328495916
19  4.293011014700001  0.0760027757296749
20  4.348615389700001  0.05064981714679888
21  4.2774169057  0.08993920279098874
Total= 48.80292298549999
Varianza= 0.32083579799279477

