Numero de qubits: 20 
Layer   Error var(error)
1  5.181094473291215e-9  2.9849768108346106e-9
2  5.105463311658421e-9  2.9121031608102696e-9
3  5.793967355155347e-9  2.4785670372106362e-9
4  6.607839703954432e-9  4.177481320481639e-9
5  6.311785872198643e-9  4.002821126730509e-9
6  6.37987151771425e-9  2.083254456531584e-9
7  7.251884208424044e-9  5.1535511496216445e-9
8  6.956303257916903e-9  2.707659418599006e-9
9  6.862582395872551e-9  4.015851325860728e-9
10  6.370763270558237e-9  2.01424907577863e-9
11  8.195435694757595e-9  3.827041771118393e-9
12  8.261392960458288e-9  2.467431083546269e-9
13  6.8824601489249095e-9  2.8824113658403303e-9
14  4.550218487067868e-9  2.824026305815477e-9
15  4.082190572043602e-9  1.3745164150558148e-9
16  5.4490965673234184e-9  2.5036468045975757e-9
17  6.290754574261071e-9  1.1450672986055789e-9
18  6.584893778172793e-9  1.672556924079218e-9
19  4.262792585962075e-9  2.35186002030057e-9
20  0.014792805250320123  0.010456753003252484
21  0.014792804704641404  0.010456753775186896
22  0.06138473552266399  0.01804661079904212
23  0.061384735522664644  0.01804661079903497
24  0.11736485316516174  0.022743872206101717
25  0.11736485316515988  0.02274387220610444
26  0.17990626896320244  0.02862294247101427
27  0.17990626896320205  0.028622942471013553
28  0.24961801241009746  0.03449180197001226
29  0.24961801241009765  0.03449180197001187
30  0.31660032574989005  0.03242648843807719
