Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.2813706015259734e-14  2.9008260753761373e-15
2  4.0  0.0  1.8155649615783556  0.0025634244880615616
3  8.0  0.0  1.8155649615783598  0.0025634244880629858
4  16.0  0.0  3.6509922287484144  0.005124507384897645
5  32.0  0.0  3.65099222874842  0.0051245073848969775
6  64.0  0.0  5.504800001405901  0.005865273291875613
7  128.0  0.0  5.504800001405905  0.00586527329187627
8  256.0  0.0  7.372883173902219  0.006335790886472966
9  512.0  0.0  7.372883173902221  0.006335790886472279
10  1024.0  0.0  9.251019847390106  0.007002031563282134
11  1024.0  0.0  9.251019847390111  0.00700203156328112
12  1023.9  0.3  9.09531388980135  0.012646259604732656
13  1023.9  0.3  9.095313889801352  0.01264625960473254
14  1023.9  0.29999999999999993  9.025479897677705  0.0059160595607397615
15  1023.9  0.29999999999999993  9.02547989767771  0.005916059560738746
