Numero de qubits: 20 
Layer   Time var(Time)
1  0.07192429345000001  0.20046335439330792
2  0.018435080700000002  0.04058334497684395
3  0.011930982699999999  0.029340431738250152
4  0.008488876  0.008048245340073947
5  0.0078077136  0.0007110251869674801
6  0.027283935400000004  0.039446828593250625
7  0.0511246818  0.004530855822536693
8  0.14210580034999998  0.00813672167196574
9  0.5571958987000001  0.054768836444176634
10  1.3972212848999999  0.046646485648197754
11  3.1554873271  0.10306397476002482
12  2.2000219529500002  0.05628277264010692
13  3.0880531781  0.15073165246327
14  2.2223365557  0.1142988813666407
15  3.0723232076499998  0.25104874693351736
16  2.1601754179  0.06409209245357429
17  3.0945771987999997  0.13521463856057392
18  2.1661798717  0.0754930860593508
19  3.0342887054500003  0.16055966139161829
20  2.1928228749499996  0.08564632670446072
21  3.0677226334000003  0.13715632664510172
22  2.2037158886  0.09134617871825118
23  3.07092301455  0.12983470076682246
24  2.18540049325  0.10672199637672661
Total= 39.2075468677
Varianza= 0.9079645008222941

Numero de qubits: 21 
Layer   Time var(Time)
1  0.025839885599999994  0.047543045667213416
2  0.0267893369  0.05089786977504169
3  0.0072646182000000005  0.007049753638664131
4  0.00675842865  0.0011255306878290025
5  0.010845767450000003  0.00868617016428107
6  0.02515153205  0.036062409355773886
7  0.06505056750000002  0.04722341304873626
8  0.16409371224999997  0.045399693454282554
9  0.6415607366  0.06668457092964376
10  1.6135350249500005  0.14808836196040462
11  3.9535312562000002  0.31520512315543214
12  5.234365748700001  0.4089912334942654
13  5.0446722817500005  0.4246512302385466
14  5.1432324577  0.4001393501160149
15  4.98078641035  0.45624761546548326
16  5.108687699950001  0.44797696537567194
17  4.9677781825  0.3673302715962789
18  5.1782454253  0.3101894947734174
19  4.9998560215  0.40177857501218944
20  5.139383420349999  0.39683546351096033
21  4.99527185295  0.3720412700087759
22  5.126074996650001  0.40910070712972746
23  5.0613508746  0.44326667786676743
24  5.192178890199999  0.4183877895820722
Total= 72.71230512885009
Varianza= 4.971357714294037

