Numero de qubits: 20 
Layer   Time var(Time)
1  0.0044484626000000005  0.00032140832102893653
2  0.0044719826  0.000356258800883066
3  0.0056137672  0.001739793021954669
4  0.0062263983999999994  0.004148507314265534
5  0.0044610150000000005  0.0005876273316077121
6  0.004402489  0.00013412687882747445
7  0.0052436058  0.0004961604918823748
8  0.0061333986  0.0006283641680409853
9  0.0093490448  0.004215637541260841
10  0.010047204  0.0016818010211828267
11  0.017662321200000004  0.009186139728369788
12  0.0190247734  0.00406259242548231
13  0.0370324198  0.005577823335711139
14  0.06056639779999999  0.016610668124143198
15  0.15472976900000002  0.08470321586342298
16  0.2572621334  0.07540832263460984
17  0.3711828714  0.11770648402897525
18  0.3982851852  0.09958045561275114
19  0.4853724412  0.052758560772678674
20  0.4312099516  0.06386794655909192
21  0.48673911719999996  0.0524641990037578
22  0.42919024619999996  0.06605481924637542
23  0.4058764676  0.04740229221588485
24  0.48806532340000003  0.0035820947630378344
25  0.38555199599999995  0.003319305244742399
26  0.4890878782  0.001955256508930864
27  0.385508996  0.003842996171705764
28  0.46316705340000003  0.04506524175522441
29  0.40827478260000005  0.0463393999730574
30  0.4623300344  0.04669589355672397
Total= 6.696517526999999
Varianza= 0.321337521675022

