Numero de qubits: 15 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.906456998220041  3.0712268714034993e-15
2  4.0  0.0  0.9064569982200459  4.2788260392929874e-15
3  8.0  0.0  2.7301295066669025  0.00551062087623229
4  16.0  0.0  2.7301295066669047  0.005510620876231412
5  32.0  0.0  4.576628282388859  0.004731211767793174
6  64.0  0.0  4.576628282388863  0.004731211767793176
7  128.0  0.0  6.436051140212101  0.005947310423257342
8  128.0  0.0  6.436051140212103  0.005947310423256458
9  128.0  0.0  6.562253941034642  0.01872099973622875
10  128.0  0.0  6.562253941034643  0.01872099973622822
11  128.0  0.0  6.458664330022428  0.00882352408261796
12  128.0  0.0  6.45866433002243  0.008823524082617945
13  128.0  0.0  6.429923241496631  0.004934234257709765
14  128.0  0.0  6.429923241496634  0.004934234257710921
15  128.0  0.0  6.4174354286978526  0.00528289955912227
Numero de qubits: 16 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  9.834519366711833e-15  3.940475032264764e-15
2  4.0  0.0  1.8148635563398419  0.002666085419978086
3  8.0  0.0  1.8148635563398456  0.002666085419977867
4  16.0  0.0  3.6511342489466356  0.005914270472422355
5  32.0  0.0  3.65113424894664  0.005914270472422944
6  64.0  0.0  5.504690361403834  0.005890059766367791
7  128.0  0.0  5.50469036140384  0.005890059766368256
8  256.0  0.0  7.371171864859873  0.006542480062404327
9  256.0  0.0  7.3711718648598765  0.006542480062403849
10  256.0  0.0  7.120776203802798  0.016908532743162865
11  256.0  0.0  7.1207762038028  0.016908532743163295
12  256.0  0.0  7.029990172865988  0.008462292053703063
13  256.0  0.0  7.0299901728659915  0.008462292053702322
14  256.0  0.0  7.006812783965098  0.004551535769862785
15  256.0  0.0  7.006812783965103  0.0045515357698627905
Numero de qubits: 17 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.1019787173123364e-14  3.1944443168880075e-15
2  4.0  0.0  1.8143780968690741  0.00195286162042359
3  8.0  0.0  1.8143780968690777  0.0019528616204243679
4  16.0  0.0  3.64970923825179  0.003912819029061802
5  32.0  0.0  3.6497092382517935  0.003912819029061195
6  64.0  0.0  5.503776796490863  0.005283094036160465
7  128.0  0.0  5.5037767964908655  0.005283094036160779
8  256.0  0.0  7.3695399214106985  0.006167249366583623
9  256.0  0.0  7.369539921410703  0.006167249366582989
10  256.0  0.0  7.548054991092644  0.017278614695365513
11  256.0  0.0  7.548054991092647  0.017278614695366686
12  256.0  0.0  7.454317083949986  0.007357598116035909
13  256.0  0.0  7.454317083949988  0.0073575981160361355
14  256.0  0.0  7.426965991605911  0.0035596801901565463
15  256.0  0.0  7.426965991605913  0.0035596801901561855
Numero de qubits: 18 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.9064569982200446  2.923599009369463e-15
2  4.0  0.0  0.9064569982200487  5.9557541372815544e-15
3  8.0  0.0  2.731846026360309  0.004786518033717153
4  16.0  0.0  2.731846026360314  0.004786518033716531
5  32.0  0.0  4.576815007627301  0.005112256811218294
6  64.0  0.0  4.576815007627306  0.005112256811218457
7  128.0  0.0  6.43687607150719  0.005399043821860647
8  256.0  0.0  6.436876071507193  0.0053990438218601495
9  512.0  0.0  8.308776844179238  0.007595046834403228
10  512.0  0.0  8.30877684417924  0.0075950468344017615
11  512.0  0.0  8.104068344923203  0.019679513148159106
12  512.0  0.0  8.10406834492321  0.0196795131481591
13  512.0  0.0  8.02901890784577  0.005051949006326349
14  512.0  0.0  8.029018907845778  0.005051949006326051
15  512.0  0.0  8.008093059187642  0.00255257972481546
Numero de qubits: 19 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  0.906456998220045  2.844316853233971e-15
2  4.0  0.0  0.9064569982200498  5.67203370813404e-15
3  8.0  0.0  2.729639204191968  0.005308093929360831
4  16.0  0.0  2.7296392041919724  0.005308093929358809
5  32.0  0.0  4.576446565782272  0.005092833274851826
6  64.0  0.0  4.576446565782278  0.005092833274851685
7  128.0  0.0  6.434863117407349  0.006037642455267224
8  256.0  0.0  6.434863117407351  0.006037642455268093
9  512.0  0.0  8.30713003750541  0.006392973791960088
10  512.0  0.0  8.307130037505416  0.00639297379195982
11  512.0  0.0  8.529725465066466  0.01869861019074512
12  512.0  0.0  8.529725465066468  0.01869861019074513
13  512.0  0.0  8.451180616950527  0.004866721718230058
14  512.0  0.0  8.451180616950532  0.004866721718229065
15  512.0  0.0  8.425303203477782  0.0015637491496556112
Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3390322785946423e-14  3.215576483264032e-15
2  4.0  0.0  1.8143277588797204  0.0019557814562163817
3  8.0  0.0  1.8143277588797229  0.0019557814562172183
4  16.0  0.0  3.6499666512912383  0.003975527817060739
5  32.0  0.0  3.649966651291243  0.003975527817059766
6  64.0  0.0  5.502710125823365  0.0063299622303591456
7  128.0  0.0  5.502710125823371  0.006329962230359804
8  256.0  0.0  7.369818313977055  0.006969179777503017
9  512.0  0.0  7.369818313977059  0.006969179777503138
10  1024.0  0.0  9.2484159902418  0.007340251017999463
11  1024.0  0.0  9.248415990241806  0.007340251017998361
12  1023.95  0.2179449471770338  9.093748278355374  0.01552710743503998
13  1023.95  0.2179449471770338  9.093748278355376  0.015527107435039824
14  1023.85  0.3570714214271425  9.027180864770926  0.004183113437375121
15  1023.85  0.3570714214271425  9.02718086477093  0.0041831134373742935
