Numero de qubits: 20 
Layer   Time var(Time)
1  0.0098770114  0.010361813157208995
2  0.004880349799999999  0.0005175931711884924
3  0.004482269799999999  0.0006198404688603028
4  0.0042607638  0.0005236945777784604
5  0.004114559999999999  9.507809261864694e-5
6  0.0046623958  0.000715970474181275
7  0.0059056836  0.0008071665480835045
8  0.0109669372  0.010252716850295466
9  0.0069646844  0.00040210877002353477
10  0.0334001186  0.04815969895452762
11  0.0117387504  0.001511465999939079
12  0.0203225066  0.003642009369669419
13  0.03877470239999999  0.005175873967141843
14  0.0642412704  0.012858195746863034
15  0.10668833920000001  0.011699682697345042
16  0.230729921  0.07235527391876441
17  0.3605418776  0.08504880283631613
18  0.5594747501999999  0.153705289055859
19  0.7739688548  0.18533584220348132
20  1.1177076936  0.12378146242724584
21  1.2732502688  0.14216613268209155
22  1.2791418814  0.07753383877581382
23  1.42759073  0.04455644088228374
24  1.3140424224  0.06212459314066489
25  1.4285787199999997  0.04911660295214321
26  1.2929479538000002  0.05201398775622869
27  1.4208941712  0.0489409284606654
28  1.3526880306  0.06566404650225566
29  1.3903684094000002  0.050128100851048366
30  1.4577295504  0.05612089550124124
Total= 17.0109355786
Varianza= 0.8743359464005753

