Número de qubits: 80
Layer	Time	var(Time)
1  0.0021216026000000004  2.0378240267560004e-7
2  0.0602207181  0.013623702402675835
3  0.015817029500000003  0.001904589269815901
4  0.0024759978  8.162184610284446e-8
5  0.0021544406000000003  7.783638552429334e-7
6  0.0028306839  9.133487222276669e-8
7  0.0019656114  1.499390399713778e-7
8  0.004202902  2.426497901591111e-7
9  0.0024202819000000006  1.397739701225444e-7
10  0.009140511399999999  1.3632182253149598e-5
11  0.0035786296  8.548480861770265e-6
12  0.0253707301  0.00010608416955336299
13  0.0035373618000000004  2.3335454472021787e-6
14  0.17572933100000002  3.2121753697081796e-5
15  0.0061666954  1.278612849670044e-6
16  0.6615163305  0.0003579694303869298
17  0.0324506651  0.0017516813010442266
18  3.6190883258  0.021893688131041363
19  0.14622871980000002  0.006276451988851676
20  19.8806081207  0.34093323130513775
Total= 24.657624689
Varianza= 0.019345350001969623
