Número de qubits: 40
Layer	Time	var(Time)
1  0.0033738812  6.71133902026484e-5
2  0.1025477839  0.038503222239819244
3  0.014755138799999998  0.0019970267922997304
4  0.0010278  2.8704027519999995e-9
5  0.0006063144999999999  3.564633025000001e-10
6  0.0011447861  1.8724939743333349e-10
7  0.0008597721000000002  5.847714097334332e-7
8  0.0015460593999999997  1.7312774384888895e-9
9  0.0006761016000000001  2.3388542226666634e-10
10  0.0036591392  2.84969731160329e-6
11  0.0148648425  0.0019541034202440453
12  0.010738284800000001  2.4490621957460185e-5
13  0.0021958747  6.145082530668457e-6
14  0.042010575499999994  9.502401896727493e-5
15  0.0034872255  3.1034268935971665e-6
16  0.2609336632  0.00190110958541146
17  0.0069619764  6.472668805771553e-7
18  1.8178539766  0.018569180233514927
19  0.05827426549999999  0.00436138075121165
20  12.4853875672  0.94732670806387
Total= 14.8329050287
Varianza= 0.05074063473709014
