Número de qubits: 80
Layer	Time	var(Time)
1  0.01169229  0.0007933667319737599
2  0.0439517813  0.007912586269258146
3  0.0016481333  1.1970043336801107e-7
4  0.0017179938  2.648441585490667e-7
5  0.0024449419  4.679753465317209e-6
6  0.0017914846999999997  5.541930144845556e-8
7  0.0018255425999999999  1.4854543386337776e-7
8  0.0030205783  6.5443397827371235e-6
9  0.0020390829999999997  1.13045477496e-7
10  0.0076893744  3.6355187147462275e-5
11  0.002092205  9.141532164466663e-8
12  0.010203851099999998  4.0740152018513655e-5
13  0.0030397637  8.178565859279786e-6
14  0.042443745899999996  2.1206884862075004e-5
15  0.0035756999000000006  2.473243505731877e-6
16  0.23733991640000002  0.00148806584033462
17  0.0160653262  5.461106328349511e-6
18  2.5219093925  0.038387117046450786
19  0.0781680612  0.0008389373896396618
20  23.9937512877  3.731090676458712
Total= 26.9864104529
Varianza= 0.18903185909697323
