Número de qubits: 40
Layer	Time	var(Time)
1  0.0028965986000000004  5.058241550550093e-5
2  0.0900735259  0.0423021466743307
3  0.0006066448  1.4736365487955553e-8
4  0.000785423  1.0417031983111113e-8
5  0.0005906549  1.1620648147433333e-8
6  0.0010818888  3.8497677604306665e-7
7  0.0005942739000000001  1.2518645128322223e-8
8  0.0011825435000000003  1.2553371343388886e-8
9  0.0006492256  1.262606909671111e-8
10  0.015643515099999998  0.0016606194216416746
11  0.0007953889  1.8714137503655556e-8
12  0.0195315564  0.0016292980862454764
13  0.00097051  2.0619406696666664e-8
14  0.0399096422  3.4900513873908847e-5
15  0.0020388285999999997  3.654243546426667e-8
16  0.15187916710000002  5.5692997319241157e-5
17  0.008692736500000001  5.905966166667871e-5
18  1.0894348040000001  0.0064743214827331416
19  0.0558913707  0.0038139923451196056
20  5.589077413099999  0.0671524190074569
Total= 7.0723257116
Varianza= 0.006161678396538986
