Número de qubits: 40
Layer	Time	var(Time)
1  0.000673436  1.0907863005555555e-8
2  0.22167875350000005  0.36115192839797056
3  0.000574538  1.0062801912222224e-8
4  0.0006265909  1.6798507735655555e-8
5  0.000559139  1.094569735111111e-8
6  0.0007064831000000001  1.0822673093211112e-8
7  0.0005763279  1.1788846478322221e-8
8  0.0018871288  2.9411642507368446e-6
9  0.000587466  9.969138894444444e-9
10  0.0013607731  1.2682687047655549e-8
11  0.0006352001  7.545146632544445e-9
12  0.0054010863999999995  1.6840320966379825e-5
13  0.0030587477  4.9752696482728676e-5
14  0.0298204876  0.0002553071259203732
15  0.0129029211  0.000467193402768288
16  0.1322670193  0.000553249348587178
17  0.0080712446  2.998361099306938e-5
18  1.2211475552000002  0.030140510623687538
19  0.0681131784  0.0006347979533712794
20  9.0333705775  1.0649161536759624
Total= 10.7440186542
Varianza= 0.07291093799221612
