Número de qubits: 80
Layer	Time	var(Time)
1  0.007677747200000001  0.0002796296328011582
2  0.06505036559999999  0.01767987097204744
3  0.0022411886  5.657171861151557e-7
4  0.0027250365000000003  9.701122911805002e-7
5  0.0021650902  1.2491781942479555e-6
6  0.0027949755  1.4331735291627778e-7
7  0.0032774375  1.897241255015717e-5
8  0.0038217162  1.5712142847151112e-7
9  0.0021595942  1.3597660742462223e-7
10  0.008124593500000003  1.1683505385010279e-5
11  0.0023925818000000002  1.1990106845306664e-7
12  0.037707397299999994  0.0017194171075340997
13  0.0039101597000000005  5.2217644691182326e-6
14  0.1739284333  9.424504257621956e-5
15  0.0199448459  0.0017683304603259803
16  0.6449154728  0.0005965817489215386
17  0.0229319716  4.808593450891472e-5
18  3.3922790559  0.03881857883134035
19  0.10512307350000001  0.0040093160434526535
20  18.294092550000002  1.1026146271535684
Total= 22.797263286800003
Varianza= 0.05838339509668049
