Número de qubits: 40
Layer	Time	var(Time)
1  0.002399378  2.668483829946022e-5
2  0.07525282789999999  0.02104292393606115
3  0.0007175754000000001  1.959979486044443e-9
4  0.0013675617  1.5455995693444466e-9
5  0.0007161793999999999  6.41291097822222e-10
6  0.0016544818999999998  1.9262438125444443e-9
7  0.0007345092999999999  1.2797017111222215e-9
8  0.0024391823  8.482546646777761e-10
9  0.0008281959  9.949351943222228e-10
10  0.005469445799999998  2.132423983283999e-7
11  0.0010012086999999998  2.071637473290001e-8
12  0.0183612054  1.7962057721482936e-5
13  0.0014827153  1.9319919334011122e-8
14  0.1627920464  0.0036056083982460834
15  0.0043219352  3.405289088084622e-6
16  0.47761780619999994  5.731715482401079e-6
17  0.0088441796  2.3304512511302663e-6
18  2.0300762914  0.0023900678546441467
19  0.028594686600000002  3.591216625111293e-5
20  9.4976432484  0.0025253454460582685
21  0.22711140860000004  0.003271497038745149
22  55.0738637914  0.06592020817966518
Total= 67.6232898608
Varianza= 0.004493088174827799
