Número de qubits: 40
Layer	Time	var(Time)
1  0.0022152705000000003  2.586923403385806e-5
2  0.0665418247  0.01928201416186011
3  0.000561681  1.86800878e-8
4  0.0006184310999999999  1.089123258921111e-8
5  0.0005330667  1.4536820250899998e-8
6  0.0006702177999999999  1.21142198044e-8
7  0.0005436760000000001  1.2133861010222222e-8
8  0.006905304899999997  0.0003703017574942619
9  0.0005958357999999999  1.0463882399066665e-8
10  0.0031078438  2.2775837661076406e-5
11  0.0007151320000000002  7.051961321111116e-9
12  0.016173221300000002  0.0006228193373855429
13  0.0009268866  2.3826360236933343e-8
14  0.0253598685  9.489684804575608e-6
15  0.0028121304  7.593346435053158e-6
16  0.1259861504  0.0004874038707166811
17  0.008104807799999999  3.0453572498012893e-6
18  1.2442950083  0.024840389981820046
19  0.07416419569999998  0.001188804637637852
20  8.801061736400001  0.4696577633945735
Total= 10.381892289700001
Varianza= 0.02582591901500489
