Gamma, E, varE, T, varT 
0.0 -50.0 0.0 1.83711051 0.034999448307578174
0.18181818181818182 -51.66695487758793 -4.547473508864641e-13 2.4635492699999997 0.0190294381567373
0.36363636363636365 -56.865589694684445 -4.547473508864641e-13 3.20452563 0.049199578862758386
0.5454545454545454 -66.76748954403979 9.094947017729282e-13 3.68369474 0.03244024188788508
0.7272727272727273 -81.56438577812273 6.366462912410498e-12 3.4779237800000002 0.0021800148484079074
0.9090909090909091 -97.88865006993005 1.8189894035458565e-12 3.16075338 0.011751193184343478
1.0909090909090908 -114.86972236773072 5.4569682106375694e-12 3.0096965100000004 0.014090800508194334
1.2727272727272727 -132.20744347311947 0.0 2.89315397 0.016835938298434883
1.4545454545454546 -149.76215191197818 3.637978807091713e-12 2.8336077399999993 0.02191951012343374
1.6363636363636365 -167.4591903973403 0.0 2.7983603799999996 0.031449631915154264
1.8181818181818181 -185.25480675641984 7.275957614183426e-12 2.7666414299999995 0.025919974567623072
2.0 -203.12158952703467 0.0 2.7248202400000006 0.02707605024751203
