Numero de qubits: 20 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.2493363364878238e-14  3.8038582156982545e-15
2  4.0  0.0  1.8152513450860617  0.0029567403875923573
3  8.0  0.0  1.8152513450860688  0.0029567403875908243
4  16.0  0.0  3.6513242429190007  0.004588106585433042
5  32.0  0.0  3.6513242429190056  0.004588106585432696
6  64.0  0.0  5.503607438971015  0.004516636048716558
7  128.0  0.0  5.503607438971019  0.00451663604871684
8  256.0  0.0  7.369830576897113  0.005070246662908201
9  512.0  0.0  7.369830576897115  0.005070246662908771
10  1024.0  0.0  9.247347727980914  0.0062576075417059935
Numero de qubits: 21 
Layer   D  var(D)  Renyi  var(Renyi)
1  2.0  0.0  1.3358288520908272e-14  3.385796021503046e-15
2  4.0  0.0  1.815645259965639  0.0029913905979087278
3  8.0  0.0  1.815645259965646  0.0029913905979068096
4  16.0  0.0  3.6525684562471867  0.004253575770836452
5  32.0  0.0  3.6525684562471907  0.004253575770837262
6  64.0  0.0  5.5055237061980495  0.006826729712665706
7  128.0  0.0  5.505523706198053  0.006826729712665946
8  256.0  0.0  7.3710173240399515  0.006560927546825687
9  512.0  0.0  7.371017324039956  0.006560927546827157
10  1024.0  0.0  9.247737772285111  0.00623812713394635
