Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
0.0 -3.000000000000001 -1.7763568394002505e-15 0.09429727000000002 0.0001572407983980971 0.005495021023299991 0.00011576688471772032 1.85 0.1274999999999995
0.05 -3.0075046992647527 -1.7763568394002505e-15 0.14722306999999998 6.242926034710425e-5 0.33402549773152945 0.05211039965596882 11.6 0.7400000000000091
0.1 -3.0300757619941816 1.7763568394002505e-15 0.161992545 0.00019889253340047916 0.1908919227256276 0.03958484981525422 12.4 2.839999999999975
0.15 -3.067888544552856 -1.7763568394002505e-15 0.19707466999999995 0.0005805445591661185 0.16573445257325986 0.038907370842591715 19.45 5.647500000000036
0.2 -3.1212512899801146 1.580957587066223e-13 0.21626859 0.0002356048943579006 0.28545495359495326 0.06834939744783322 23.35 0.7274999999999636
0.25 -3.1906337070714574 1.8486545627638407e-11 0.322267755 0.0007711840674474724 0.19230706470259717 0.05058753551159485 38.7 7.409999999999627
0.3 -3.2767472768639165 6.175326916491031e-10 0.4053975399999999 0.0004691642431324805 0.25407350613595353 0.049534064714911105 55.9 4.190000000000055
0.35 -3.380788227949979 2.336988025319897e-8 0.41472844500000006 0.0006262772567164343 0.49524439073913407 0.04980402407531395 59.15 30.527500000000146
0.4 -3.505285886207399 2.877698079828406e-13 0.42656241999999994 0.005420594488496661 0.7365057953161056 1.719902120722594e-8 44.85 55.42749999999978
0.45 -3.6537855367233383 0.0 0.37456678000000004 0.0011158709331815508 0.7442593175940051 0.0 39.0 0.09999999999990905
0.5 -3.830648787770181 0.0 0.36629836000000005 0.0008219426860253676 0.7022545114914666 0.0 39.0 0.0
0.55 -4.035512246214743 0.0 0.343335355 0.0003921903992944592 0.6062450314958234 -5.551115123125783e-17 38.0 0.0
0.6 -4.262239839163219 -7.105427357601002e-15 0.335172965 0.0008297909011882598 0.5031326015163897 1.1102230246251565e-16 36.95 0.04749999999967258
0.65 -4.504064399669383 -3.552713678800501e-15 0.318991595 0.0005515905234244473 0.4196691551018693 8.326672684688674e-17 36.0 0.0
0.7 -4.756328863081192 0.0 0.318818065 0.00036353928007729075 0.35660880308859233 2.7755575615628914e-17 35.0 0.0
0.75 -5.016156171261282 3.552713678800501e-15 0.327506805 0.00047292851381945666 0.3085812836110445 -4.163336342344337e-17 33.0 0.0
0.8 -5.281717424864965 -1.0658141036401503e-14 0.2789006 0.0008884668555589892 0.27101864156506833 0.0 32.0 0.0
0.85 -5.551780125201515 7.105427357601002e-15 0.25290852499999994 0.0005999547141578992 0.24085059033944858 -3.469446951953614e-17 31.0 0.0
0.9 -5.825468669889551 7.105427357601002e-15 0.233300655 0.00021755892338946176 0.21607544146671534 -2.0816681711721685e-17 30.0 0.0
0.95 -6.102135029723771 7.105427357601002e-15 0.23411327 0.00027306050234608 0.1953599033611893 -6.938893903907228e-18 28.0 0.0
1.0 -6.381284575512016 -1.4210854715202004e-14 0.225582795 0.00021997366790248163 0.1777850745048754 -1.3877787807814457e-17 27.0 0.0
1.05 -6.6625307323320495 -7.105427357601002e-15 0.226667515 0.0004093675896682733 0.16269569207087264 -1.734723475976807e-17 26.0 0.0
1.1 -6.945565676626106 7.105427357601002e-15 0.22875953500000007 0.00035032685115224393 0.1496101731267062 -3.469446951953614e-18 26.0 0.0
1.15 -7.23014052909942 7.105427357601002e-15 0.22534023500000006 0.0006740229169862541 0.1381653916199843 0.0 25.0 0.0
1.2 -7.516051478781594 7.105427357601002e-15 0.20989339499999998 0.00012012497019248114 0.12808158669108355 -3.469446951953614e-18 24.0 0.0
1.25 -7.803129780721271 0.0 0.19966862500000002 0.0002685542110778677 0.1191392862209888 1.734723475976807e-18 23.0 0.0
1.3 -8.091234377124971 1.4210854715202004e-14 0.19754228 0.00020510543735059727 0.11116364711204714 -8.673617379884035e-18 22.0 0.0
1.35 -8.38024634859676 2.842170943040401e-14 0.19995199999999996 0.00017347803215800317 0.104013528626305 1.734723475976807e-18 22.0 0.0
1.4 -8.67006467352201 1.4210854715202004e-14 0.19667082 0.00013521769193759747 0.09757368086427935 1.734723475976807e-18 22.0 0.0
1.45 -8.960602941740035 1.4210854715202004e-14 0.19400976499999997 7.906875475427455e-5 0.0917490412693539 0.0 22.0 0.0
1.5 -9.251786776527023 5.684341886080802e-14 0.195098695 0.00029036221744947743 0.08646049318602333 -3.469446951953614e-18 22.0 0.0
1.55 -9.543551790242088 5.684341886080802e-14 0.18984670499999998 0.0002609234785574885 0.0816416606739786 -2.6020852139652106e-18 21.0 0.0
1.6 -9.835841947365488 5.684341886080802e-14 0.183281175 6.859594421588372e-5 0.07723645194138343 -3.469446951953614e-18 20.0 0.0
1.65 -10.128608242183873 2.842170943040401e-14 0.19041212500000002 0.00019818697878787317 0.07319715279178027 0.0 20.0 0.0
1.7 -10.421807622051315 -4.263256414560601e-14 0.18855320999999997 0.0002577797951789085 0.06948293026949977 2.6020852139652106e-18 19.0 0.0
1.75 -10.715402104145436 -2.842170943040401e-14 0.18296889999999996 0.0002146564326570219 0.06605864633077888 8.673617379884035e-19 19.0 0.0
1.8 -11.009358046010789 0.0 0.17957450500000002 7.87509293234609e-5 0.06289390866812024 -8.673617379884035e-19 19.0 0.0
1.85 -11.303645539309212 0.0 0.18258581999999998 0.0003644906318976057 0.05996230491736496 -8.673617379884035e-19 19.0 0.0
1.9 -11.598237903005602 -2.842170943040401e-14 0.18977627500000002 0.000783029874303863 0.057240780073857765 -8.673617379884035e-19 19.0 0.0
1.95 -11.893111257356216 0.0 0.17469418 3.8818382375592486e-5 0.05470912675778844 8.673617379884035e-19 18.0 0.0
2.0 -12.188244163976709 0.0 0.18164014500000003 0.00016171138514346067 0.052349565144609186 -4.336808689942018e-19 18.0 0.0
