Numero de qubits: 50 
Dimension max: 64 
p= 6 
After sweep 1 energy=-12.500000000000002  maxlinkdim=1 maxerr=1.54E-18 time=0.014
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=1.24E-183 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.52E-184 time=0.013
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=0.00E+00 time=0.020
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=0.00E+00 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=0.00E+00 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=0.00E+00 time=0.011
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=0.00E+00 time=0.013
After sweep 1 energy=-12.499995523782395  maxlinkdim=64 maxerr=9.96E-16 time=0.134
After sweep 1 energy=-12.499999999997172  maxlinkdim=11 maxerr=9.81E-16 time=0.069
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.90E-16 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.19E-61 time=0.010
After sweep 1 energy=-12.499998504440532  maxlinkdim=64 maxerr=9.68E-16 time=0.132
After sweep 1 energy=-12.49999999999076  maxlinkdim=10 maxerr=9.92E-16 time=0.063
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=9.55E-16 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.012
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=3.23E-121 time=0.010
After sweep 1 energy=-12.499999256729609  maxlinkdim=63 maxerr=9.84E-16 time=0.131
After sweep 1 energy=-12.49999999999959  maxlinkdim=8 maxerr=9.91E-16 time=0.055
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=5.90E-18 time=0.016
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.010
After sweep 1 energy=-12.5  maxlinkdim=1 maxerr=2.49E-90 time=0.012
