Gamma, E, varE, T, varT, S, varS, dimension, vardimension 
1.15 -10.845204775243623 -5.684341886080802e-14 1.5814124300000003 0.3899801418113755 0.13814358286330072 1.0408340855860843e-17 30.0 0.0
1.2 -11.274073415799544 -2.842170943040401e-14 1.8565638400000002 0.23764703625250583 0.12806788921216875 0.0 28.0 0.0
1.25 -11.704692225539976 2.842170943040401e-14 1.6317726650000002 0.03545269961303177 0.1191305467563877 -1.734723475976807e-18 26.0 0.0
1.3 -12.13684996651141 5.684341886080802e-14 1.5370405149999997 0.03972769435445267 0.11115798649203523 -3.469446951953614e-18 25.0 0.0
1.35 -12.570368460903468 2.842170943040401e-14 1.9717722300000002 0.4531209324747514 0.1040098093459377 -1.734723475976807e-18 24.0 0.0
1.4 -13.005096294802613 -8.526512829121202e-14 1.6396518400000002 0.08709035299704215 0.09757120373781336 -3.469446951953614e-18 24.0 0.0
1.45 -13.440903924053108 2.842170943040401e-14 1.52466694 0.04465256113387417 0.09174737010946636 -1.734723475976807e-18 24.0 0.0
1.5 -13.877679826959485 5.684341886080802e-14 1.44243761 0.03192207955720283 0.08645935196926591 1.734723475976807e-18 23.4 0.2400000000000091
1.55 -14.31532744898352 -2.842170943040401e-14 1.5890091149999999 0.15580445487845695 0.08164087233497894 2.6020852139652106e-18 23.0 0.0
1.6 -14.753762753810003 5.684341886080802e-14 1.3453501449999998 0.04664664912275507 0.07723590140632618 -3.469446951953614e-18 22.0 0.0
1.65 -15.192912243714284 -2.842170943040401e-14 1.3236278149999998 0.04286549930510719 0.07319676434416293 -8.673617379884035e-19 21.0 0.0
1.7 -15.63271134675596 5.684341886080802e-14 1.17609512 0.011493781811594328 0.06948265349815055 0.0 19.0 0.0
1.75 -16.073103093315005 -5.684341886080802e-14 1.0513130499999996 0.10894283372001845 0.06605844729504942 -2.6020852139652106e-18 19.0 0.0
1.8 -16.51403702277416 -5.684341886080802e-14 1.03568808 0.09341843487864554 0.06289376427101481 0.0 19.0 0.0
1.85 -16.955468274686336 5.684341886080802e-14 0.981592915 0.04864282314025414 0.059962199281109005 4.336808689942018e-19 19.0 0.0
1.9 -17.397356828898975 -1.1368683772161603e-13 0.8926057399999999 0.009485547525974636 0.05724070217742587 0.0 18.95 0.04750000000001364
1.95 -17.839666866757476 1.7053025658242404e-13 0.8604270549999999 0.042384012624485545 0.054709068881031754 4.336808689942018e-19 18.95 0.04750000000001364
2.0 -18.282366231351368 5.684341886080802e-14 0.80568311 0.014104498013239875 0.05234952183111278 4.336808689942018e-19 18.75 0.1875
