20	0.044750288
21	0.078305288
22	0.178969152
23	0.313187448
24	0.715841200
25	1.252712680
26	2.863325984
27	5.010810200
28	11.453261712
29	20.043196872
30	45.813001216
31	80.172740152
32	114.532479088
33	148.892218024
34	183.251956960
35	217.611695896
36	251.971434832
37	286.331173768
38	320.690912704
39	355.050651640
40	389.410390576
41	423.770129512
42	458.129868448
43	492.489607384
44	526.849346320
45	561.209085256
46	595.568824192
47	629.928563128
48	664.288302064
49	698.648041000
50	733.007779936
