Numero de qubits: 20 
Layer   Time var(Time)
1  0.0043597619  0.00043701771186576636
2  0.004449412300000001  0.0006328517560158223
3  0.004283783400000001  0.0005911265107974266
4  0.005083932899999999  0.002879033021686116
5  0.0048405980500000004  0.0005686619893435357
6  0.005164700250000001  0.0006162576716422989
7  0.0080888596  0.002817333081964545
8  0.005747134150000001  0.0005567217957905253
9  0.0073744351  0.0024833297206411976
10  0.011640573749999997  0.0059531908358931756
11  0.013930710500000004  0.005917655904083301
12  0.022474887799999996  0.005650431506880803
13  0.042295446199999996  0.007789319753552628
14  0.07106227805000001  0.019089100983440743
15  0.16300934339999998  0.07649069899039566
16  0.23044109715000002  0.06196208629568592
17  0.39940823355000005  0.08772726677937051
18  0.4224098759  0.08110680889975456
19  0.4789465601999999  0.0645068946826793
20  0.46478466760000003  0.04360482293794585
21  0.4855890494  0.059783234187959326
22  0.40204944429999995  0.05779607080033924
23  0.4512926438500001  0.06005032376894863
24  0.44626750635  0.06353859259511467
25  0.4193203208000001  0.04692247678288586
26  0.46102704995000005  0.05590837725039297
27  0.40749104915  0.03458995725003473
28  0.46673152240000004  0.050510321532922585
29  0.40726607865000003  0.03438901778271853
30  0.47144813695000004  0.0483074553489303
Total= 6.788279093550005
Varianza= 0.3430381554464956

