Numero de qubits: 20 
Layer   Error var(error)
1  5.428348831482297e-9  2.860421386000392e-9
2  5.274926240977452e-9  1.99191712729545e-9
3  5.818180784830713e-9  3.176967449100818e-9
4  5.404198601456692e-9  2.5803546557229325e-9
5  7.215967675422915e-9  3.9390683067782166e-9
6  6.312029632385151e-9  3.375793957552049e-9
7  5.4161408573103846e-9  2.7244878589489437e-9
8  8.229438641095937e-9  4.081614980967492e-9
9  6.090675234308942e-9  2.888987705293372e-9
10  7.0230369377549456e-9  3.037963132156595e-9
11  6.118895025301967e-9  3.2501285503946725e-9
12  6.576686996554838e-9  3.0044065346440914e-9
13  6.245569489324248e-9  2.869516093759414e-9
14  6.643601744086083e-9  2.9520189967356918e-9
15  6.561968963800536e-9  3.1926649088020338e-9
16  5.465573607793941e-9  2.243601633259046e-9
17  5.4799364355734355e-9  2.08275234198851e-9
18  6.206051380175506e-9  2.655325357762653e-9
19  6.353559660385578e-9  2.6371979287366946e-9
20  0.013335249637762139  0.011464027939968757
21  0.013335249342880464  0.01146402828298563
22  0.05503377111926526  0.023024078100049885
23  0.05503377111926059  0.023024078100052393
24  0.11899384684274435  0.029266823223237256
25  0.11899384684274457  0.029266823223238154
26  0.18483169587964382  0.026999070710032463
27  0.18483169587964357  0.02699907071003264
28  0.25524886770333  0.027583168104808518
29  0.2552488677033302  0.02758316810480862
30  0.323197229248401  0.026517365003210964
