Número de qubits: 120
Layer	Time	var(Time)
1  0.0042840121  7.632413652287665e-7
2  0.09856073850000001  0.0333440016876179
3  0.004190701400000001  4.225122667715998e-7
4  0.0051008534  7.624344916804451e-8
5  0.004921231400000001  3.430233030737782e-8
6  0.0054987355  6.013028156383333e-8
7  0.023568504400000002  0.0024818616583681227
8  0.0059901735  5.928242657076111e-7
9  0.0065524407  4.2502645248372224e-5
10  0.014178769700000001  6.922149749229845e-5
11  0.005695582899999999  2.520223804928965e-5
12  0.032938844300000006  0.00035063408717006826
13  0.0078600426  3.254984870834271e-5
14  0.22410611509999998  2.9159209012075158e-5
15  0.0092070605  2.7292036514665003e-6
16  0.8399743508  0.0010340489670622238
17  0.0399371429  0.0018605991697137518
18  4.7690542087  0.10272502495356034
19  0.162706148  0.004468971832998613
20  29.189567717499994  0.6679656170211031
Total= 35.453893373899994
Varianza= 0.040721703663685736
