Número de qubits: 120
Layer	Time	var(Time)
1  0.0058914643000000004  1.1330536655162337e-6
2  0.0796089388  0.02204943294052966
3  0.0054695791  2.69609595287211e-7
4  0.007145897400000001  7.784362747076e-7
5  0.005252155  4.523025879282222e-7
6  0.010581272700000002  7.078850844119068e-5
7  0.009011621000000001  3.4977389265869336e-5
8  0.010304371799999998  1.2566673235739554e-6
9  0.007414932499999999  5.394161246603472e-5
10  0.0222788758  3.287100622544484e-5
11  0.0054597848999999995  5.549898543443221e-7
12  0.069340447  2.4715450270509554e-5
13  0.012413031499999998  3.914878528805517e-5
14  0.6949558551999999  0.010652593148301075
15  0.016368874399999997  3.380635213140267e-6
16  2.4066885774999998  0.05874772699131524
17  0.0632382824  1.1951703135066936e-5
18  10.9231137062  0.09828102107140617
19  0.34133229550000005  0.003122028809654377
20  51.8440877664  0.27390011477106097
Total= 66.5399577294
Varianza= 0.02335145689409371
